pc_item_id,pc_item_name,fk_im_spec_master_desc,fk_im_spec_options_desc,glcat_mcat_id,glcat_mcat_name
229710334,Polycab Optima Electric Wire,Voltage,1100V,208737,Polycab House Wire
176481989,Polycab  Panel Wire FR,Suitable for,Homes,208737,Polycab House Wire
192670764,Polycab House Wire,Certifications,IS 694,208737,Polycab House Wire
286355123,4 Sq Mm Polycab House Wire,Insulation Material,PVC,208737,Polycab House Wire
176593165,Polycab FR LSH House Wire,Brand,Polycab,208737,Polycab House Wire
269764670,4 Sqmm Polycab Electrical House Wire,Suitable for,Homes,208737,Polycab House Wire
278484697,Polycab Wire 1.5 Sq Mm,Insulation Material,FR,208737,Polycab House Wire
144169706,Polycab Core Wire,Phase,Three,208737,Polycab House Wire
187855118,1.0 sq mm Skylark Housing Wire,Conductor,Copper,208737,Polycab House Wire
271079628,Polycab 6 Sqmm Copper Flexible Wire,Wire Size,6 sqmm,208737,Polycab House Wire
157934396,Green 0.75 Sqmm  Polycab Multi-strand Wire,Voltage,1100V,208737,Polycab House Wire
269887261,Polycab House Wire,Wire Size,1 sqmm,208737,Polycab House Wire
277940130,Polycab 90 Meter Primma Wire,Suitable for,Homes,208737,Polycab House Wire
166374908,2.5sqmm Polycab Insulated Wire,Voltage,650/1100 V,208737,Polycab House Wire
116281962,Polycab Flexible Cable,Number Of Cores,1 to 4,208737,Polycab House Wire
256085398,4.0mm Lotus Cable Wire,Number Of Cores,Single Core,208737,Polycab House Wire
267850841,Polycab 0.75sqmm Blue  Wire,Current Rating,11A,208737,Polycab House Wire
66528555,Polycab Optima Plus LF FR House Wire,Number of Core,Single Core,208737,Polycab House Wire
235732350,Polycab Yellow Wire,,,208737,Polycab House Wire
138558580,Polycab Building Wires,Color,Black,208737,Polycab House Wire
278087279,4sqmm Polycab House Wire,Roll Length,90 m,208737,Polycab House Wire
120516591,Polycab Wires,Type,Low Voltage,208737,Polycab House Wire
260420630,1 Sqmm Green Polycab House Wire,Color,Green,208737,Polycab House Wire
140131623,Polycab Cables,,,208737,Polycab House Wire
125940314,Polycab Electrical Cable House Wire,Voltage,1100V,208737,Polycab House Wire
244340146,Polycab House Wire,Certifications,IS 694,208737,Polycab House Wire
247072934,90 m Polycab LFFR House Wire,Current Rating,32A,208737,Polycab House Wire
260865833,Polycab Green 2.5 Sqmm (2),,,208737,Polycab House Wire
200624686,Polycab Wire 16  Mm 90 Mtr,Suitable for,Construction,208737,Polycab House Wire
252894362,POLYCAB WIRE FR 4.00MM 3 CORE 100MTR,Conductor,Copper,208737,Polycab House Wire
156277994,Polycab Wires 1.0 Sq. Mm. (300 Mtr.),Certifications,IS 694,208737,Polycab House Wire
182997825,"1.00  Sqmm House Wire Green, 90 Mtr",Current Rating,11A,208737,Polycab House Wire
269363154,Electrical Polycab Wire,Suitable for,Construction,208737,Polycab House Wire
184777109,Polycab Blue House Copper Wire,Suitable for,Homes,208737,Polycab House Wire
278028989,Polycab 1 Sq Mm FRLS House Wire 300 Meter,Certifications,IS 694,208737,Polycab House Wire
276029454,1SQ.MM HOUSE WIRE 90M OPTIMA FRLF POLYCAB,Color,Red,208737,Polycab House Wire
168087508,Polycab Green Wire,Color,Red,208737,Polycab House Wire
286474101,polycab Electrical Cable Wires,Wire Size,0.75 sqmm,208737,Polycab House Wire
278740955,Black Polycab House Wire,Roll Length,90 m,208737,Polycab House Wire
183263902,Polycab FR House Wires,Color,Red,208737,Polycab House Wire
252894362,POLYCAB WIRE FR 4.00MM 3 CORE 100MTR,Current Rating,5A,208737,Polycab House Wire
280532308,Polycab Cables And Wires,,,208737,Polycab House Wire
173859709,Polycab 90mtr Eco Friendly House Wire,Current Rating,24A,208737,Polycab House Wire
167861708,Polycab FRLSH Wire,Brand,Polycab,208737,Polycab House Wire
268094163,Polycab 7 18 Green Aluminium Wire,Resistance (Max) per km @ Degree C,100000,208737,Polycab House Wire
184697614,Polycab Greenwire with 90m 6 sqmm Green Electric Copper Wire,Conductor,Copper,208737,Polycab House Wire
176430117,Polycab PVC Insulated Panel Wire,Number Of Cores,Single Core,208737,Polycab House Wire
284635137,Polycab House Wires 4mm,Wire Size,4 sqmm,208737,Polycab House Wire
179131745,Polycab Etira Flame Retardant House Wire,Conductor,Copper,208737,Polycab House Wire
270310529,Polycab Lead Free Flame Retardant Wire,Packaging Type,Box,208737,Polycab House Wire
246635188,Polycab Eco-Friendly Red House Wire,Insulation Material,FRLS,208737,Polycab House Wire
115216509,Polycab Fr House Wires,Color,Red,208737,Polycab House Wire
76995330,Qucab House Wire,,,208737,Polycab House Wire
158158802,2.50 Sqmm Polycab FRLF PVC Insulated Copper Wire,Insulation Material,PVC,208737,Polycab House Wire
189060087,Polycab Eco Friendly Red Wire,Color,Red,208737,Polycab House Wire
150675828,House wire Box,Rated Current,4MPRS,208737,Polycab House Wire
182899354,"1.50  Sqmm House Wire Blue, 90 Mtr",Suitable for,Homes,208737,Polycab House Wire
277215563,2.5 Sqmm Polycab Optima Plus Wire,Roll Length,90 m,208737,Polycab House Wire
126772905,Polycab Electrical Wire,,,208737,Polycab House Wire
120019276,Polycab House Wire,Insulation Material,FR,208737,Polycab House Wire
100825526,Polycab Flexible Cable,Length,300 m,208737,Polycab House Wire
